Training Epoch: 1 [37760/45388]	Loss: 1.8104	LR: 0.004155
Training Epoch: 1 [37888/45388]	Loss: 1.5919	LR: 0.004169
Training Epoch: 1 [38016/45388]	Loss: 1.7165	LR: 0.004183
Training Epoch: 1 [38144/45388]	Loss: 1.6877	LR: 0.004197
Training Epoch: 1 [38272/45388]	Loss: 1.7775	LR: 0.004211
Training Epoch: 1 [38400/45388]	Loss: 1.6553	LR: 0.004225
Training Epoch: 1 [38528/45388]	Loss: 1.7317	LR: 0.004239
Training Epoch: 1 [38656/45388]	Loss: 1.8021	LR: 0.004254
Training Epoch: 1 [38784/45388]	Loss: 1.7041	LR: 0.004268
Training Epoch: 1 [38912/45388]	Loss: 1.6296	LR: 0.004282
Training Epoch: 1 [39040/45388]	Loss: 1.5960	LR: 0.004296
Training Epoch: 1 [39168/45388]	Loss: 1.5500	LR: 0.004310
Training Epoch: 1 [39296/45388]	Loss: 1.5845	LR: 0.004324
Training Epoch: 1 [39424/45388]	Loss: 1.7063	LR: 0.004338
Training Epoch: 1 [39552/45388]	Loss: 1.6182	LR: 0.004352
Training Epoch: 1 [39680/45388]	Loss: 1.7190	LR: 0.004366
Training Epoch: 1 [39808/45388]	Loss: 1.5953	LR: 0.004380
Training Epoch: 1 [39936/45388]	Loss: 1.4844	LR: 0.004394
Training Epoch: 1 [40064/45388]	Loss: 1.5696	LR: 0.004408
Training Epoch: 1 [40192/45388]	Loss: 1.4951	LR: 0.004423
Training Epoch: 1 [40320/45388]	Loss: 1.5974	LR: 0.004437
Training Epoch: 1 [40448/45388]	Loss: 1.5243	LR: 0.004451
Training Epoch: 1 [40576/45388]	Loss: 1.4725	LR: 0.004465
Training Epoch: 1 [40704/45388]	Loss: 1.4079	LR: 0.004479
Training Epoch: 1 [40832/45388]	Loss: 1.5399	LR: 0.004493
Training Epoch: 1 [40960/45388]	Loss: 1.6976	LR: 0.004507
Training Epoch: 1 [41088/45388]	Loss: 1.6615	LR: 0.004521
Training Epoch: 1 [41216/45388]	Loss: 1.5229	LR: 0.004535
Training Epoch: 1 [41344/45388]	Loss: 1.5503	LR: 0.004549
Training Epoch: 1 [41472/45388]	Loss: 1.3434	LR: 0.004563
Training Epoch: 1 [41600/45388]	Loss: 1.4371	LR: 0.004577
Training Epoch: 1 [41728/45388]	Loss: 1.6728	LR: 0.004592
Training Epoch: 1 [41856/45388]	Loss: 1.5575	LR: 0.004606
Training Epoch: 1 [41984/45388]	Loss: 1.3366	LR: 0.004620
Training Epoch: 1 [42112/45388]	Loss: 1.3629	LR: 0.004634
Training Epoch: 1 [42240/45388]	Loss: 1.6453	LR: 0.004648
Training Epoch: 1 [42368/45388]	Loss: 1.4347	LR: 0.004662
Training Epoch: 1 [42496/45388]	Loss: 1.4365	LR: 0.004676
Training Epoch: 1 [42624/45388]	Loss: 1.4252	LR: 0.004690
Training Epoch: 1 [42752/45388]	Loss: 1.4821	LR: 0.004704
Training Epoch: 1 [42880/45388]	Loss: 1.3926	LR: 0.004718
Training Epoch: 1 [43008/45388]	Loss: 1.4406	LR: 0.004732
Training Epoch: 1 [43136/45388]	Loss: 1.6029	LR: 0.004746
Training Epoch: 1 [43264/45388]	Loss: 1.3046	LR: 0.004761
Training Epoch: 1 [43392/45388]	Loss: 1.3773	LR: 0.004775
Training Epoch: 1 [43520/45388]	Loss: 1.4048	LR: 0.004789
Training Epoch: 1 [43648/45388]	Loss: 1.3943	LR: 0.004803
Training Epoch: 1 [43776/45388]	Loss: 1.1656	LR: 0.004817
Training Epoch: 1 [43904/45388]	Loss: 1.3256	LR: 0.004831
Training Epoch: 1 [44032/45388]	Loss: 1.3522	LR: 0.004845
Training Epoch: 1 [44160/45388]	Loss: 1.3445	LR: 0.004859
Training Epoch: 1 [44288/45388]	Loss: 1.3673	LR: 0.004873
Training Epoch: 1 [44416/45388]	Loss: 1.4774	LR: 0.004887
Training Epoch: 1 [44544/45388]	Loss: 1.3808	LR: 0.004901
