|       from small pool |  12223 KiB |     17 MiB |      8 GiB |      8 GiB |
|---------------------------------------------------------------------------|
| GPU reserved memory   |   2420 MiB |   2420 MiB |   2420 MiB |      0 B   |
|       from large pool |   2400 MiB |   2400 MiB |   2400 MiB |      0 B   |
|       from small pool |     20 MiB |     20 MiB |     20 MiB |      0 B   |
|---------------------------------------------------------------------------|
| Non-releasable memory |  46884 KiB | 420789 KiB | 295905 MiB | 295859 MiB |
|       from large pool |  42840 KiB | 415383 KiB | 285816 MiB | 285775 MiB |
|       from small pool |   4044 KiB |   7188 KiB |  10088 MiB |  10084 MiB |
|---------------------------------------------------------------------------|
